,file,国名,評価年度,評価会社,評価者,プロジェクトコスト_計画時_int,プロジェクトコスト_実績_int,プロジェクト期間開始_計画時,プロジェクト期間終了_計画時,プロジェクト期間開始_実績,プロジェクト期間終了_実績,事前評価時_プロジェクト期間（月）,実績_プロジェクト期間（月）,妥当性評価,整合性評価,有効性評価,インパクト評価,効率性評価,効率性_コスト,効率性_期間,持続性評価,適応・貢献評価,付加価値・創造価値評価,総合評価,備考,事業形態,分野,案件名,連番,地域,地域詳細
408,https://www2.jica.go.jp/ja/evaluation/pdf/2020_1460750_4_f.pdf,エチオピア,2020,一般財団法人 国際開発機構,阪田恵,1345000000.0,1232000000.0,2015-04-01,2017-03-04,2015-03-01,2017-02-01,24.0,24.0,高い,,中程度,中程度,高い,93.0,100.0,中程度,,,高い,プロジェクトコスト_実績は日本側負担額のみ。被援助国側の実績負担額は不明のため、総事業費の実績は不明。,無償,水資源開発,南部諸民族州リフトバレー地域給水計画,1,アフリカ,東アフリカ
409,https://www2.jica.go.jp/ja/evaluation/pdf/2019_1203104_4_f.pdf,エチオピア,2019,エチオピア事務所,,180000000.0,236000000.0,,,2013-09-01,2015-05-01,,21.0,高い,高い,中程度,中程度,中程度,131.0,117.0,中程度,,,一部課題がある,,技協,新・再生エネルギー,全国地熱発電開発マスタープラン策定プロジェクト,1,アフリカ,東アフリカ
410,https://www2.jica.go.jp/ja/evaluation/pdf/2019_1001755_4_f.pdf,エチオピア,2019,エチオピア事務所,,760000000.0,801000000.0,,,2011-06-01,2016-03-01,57.0,58.0,高い,,中程度,中程度,中程度,105.0,102.0,中程度,,,一部課題がある,,技協,河川・砂防,地すべり対策工能力強化プロジェクト,1,アフリカ,東アフリカ
411,https://www2.jica.go.jp/ja/evaluation/pdf/2011_0410200_4_f.pdf,エリトリア,2011,ケニア事務所,,663000000.0,660000000.0,2004-08-01,2006-11-27,2005-08-01,2007-03-01,45.0,32.0,高い,,高い,高い,中程度,100.0,111.0,中程度,,,高い,,無償,道路,アスマラ-マッサワ間道路橋梁改修計画,1,アフリカ,東アフリカ
412,https://www2.jica.go.jp/ja/evaluation/pdf/2012_0700800_4_f.pdf,エリトリア,2012,オクタヴィアジャパン株式会社,稲澤健一、古賀美夕紀,1581000000.0,1509000000.0,2006-09-01,2010-04-07,2006-09-01,2010-02-01,43.0,41.0,高い,,中程度,中程度,高い,95.0,95.0,低い,,,一部課題がある,,無償,上水道,デブブ州地方都市給水計画,1,アフリカ,東アフリカ
413,https://www2.jica.go.jp/ja/evaluation/pdf/2011_0708300_4_f.pdf,エリトリア,2011,ケニア事務所,,296000000.0,292000000.0,2007-09-01,2008-12-04,2007-09-01,2009-01-01,16.0,17.0,高い,高い,低い,低い,中程度,99.0,106.0,中程度,,,低い,,無償,保健・医療,地域医療向上計画,1,アフリカ,東アフリカ
414,https://www2.jica.go.jp/ja/evaluation/pdf/2015_0701817_4_f.pdf,エリトリア,2015,ケニア事務所,,230000000.0,254000000.0,2008-05-01,2011-05-01,2008-05-01,2011-05-01,36.0,36.0,高い,,中程度,中程度,中程度,110.0,100.0,中程度,,,一部課題がある,,技協,保健・医療,保健医療サービス向上のための医療機材管理システム強化プロジェクト,1,アフリカ,東アフリカ
415,https://www2.jica.go.jp/ja/evaluation/pdf/2015_ES-P5_4_f.pdf,エルサルバドル,2015,アイ・シー・ネット株式会社,スズキS.ヒロミ,14977000000.0,23281000000.0,2001-10-01,2006-03-15,2001-10-01,2009-07-01,54.0,94.0,中程度,,低い,低い,低い,155.0,174.0,中程度,,,低い,,有償,港湾,ラ・ウニオン港開発事業,1,中南米,中央アメリカ
416,https://www2.jica.go.jp/ja/evaluation/pdf/2014_0603015_4_f.pdf,エルサルバドル,2014,エルサルバドル事務所,,350000000.0,406000000.0,2005-01-01,2008-01-06,2005-01-01,2010-01-01,36.0,61.0,高い,,高い,高い,低い,116.0,166.0,中程度,,,一部課題がある,,技協,水産,貝類増養殖開発計画プロジェクト,1,中南米,中央アメリカ
417,https://www2.jica.go.jp/ja/evaluation/pdf/2011_0510400_4_f.pdf,エルサルバドル,2011,エルサルバドル事務所,,630000000.0,590000000.0,2005-08-01,2007-02-12,2005-08-01,2007-02-01,18.0,19.0,高い,,高い,高い,高い,92.54,98.0,中程度,,,非常に高い,,無償,保健・医療,ロサレス国立病院復旧計画,1,中南米,中央アメリカ
418,https://www2.jica.go.jp/ja/evaluation/pdf/2011_0603020_4_f.pdf,エルサルバドル,2011,エルサルバドル事務所,,352000000.0,563000000.0,2005-11-01,2009-06-04,2005-11-01,2009-03-31,43.0,41.0,高い,,高い,高い,中程度,160.0,95.0,中程度,,,高い,,技協,都市衛生,地方自治体廃棄物総合管理プロジェクト,1,中南米,中央アメリカ
419,https://www2.jica.go.jp/ja/evaluation/pdf/2013_0701300_4_f.pdf,エルサルバドル,2013,株式会社グローバル・グループ21ジャパン,吉田健,1300000000.0,1297000000.0,2007-07-01,2009-09-01,2007-07-01,2009-07-01,26.0,25.0,高い,,中程度,中程度,中程度,,,中程度,,,一部課題がある,,無償,道路,日本・中米友好橋建設計画,1,中南米,中央アメリカ
420,https://www2.jica.go.jp/ja/evaluation/pdf/2019_0603028_4_f.pdf,エルサルバドル,2019,エルサルバドル事務所,,194000000.0,211000000.0,2008-03-01,2012-03-01,2008-03-01,2012-03-01,48.0,48.0,高い,,高い,高い,中程度,109.0,100.0,中程度,,,高い,,技協,農業一般,東部地域零細農民支援プロジェクト,1,中南米,中央アメリカ
421,https://www2.jica.go.jp/ja/evaluation/pdf/2014_0800494_4_f.pdf,エルサルバドル,2014,エルサルバドル事務所,,450000000.0,370000000.0,2009-01-01,2011-12-01,2009-01-01,2011-12-01,36.0,36.0,高い,,中程度,中程度,高い,82.0,100.0,中程度,,,高い,,技協,上水道,上下水道公社事業運営能力強化プロジェクト,1,中南米,中央アメリカ
422,https://www2.jica.go.jp/ja/evaluation/pdf/2016_0900651_4_f.pdf,エルサルバドル,2016,エルサルバドル事務所,,370000000.0,371000000.0,2010-07-01,2013-07-01,2010-07-01,2013-07-01,37.0,37.0,高い,,高い,高い,高い,100.0,100.0,中程度である,,,非常に高い,,技協,観光一般,東部地域観光開発能力強化プロジェクト,1,中南米,中央アメリカ
423,https://www2.jica.go.jp/ja/evaluation/pdf/2024_1161630_4_f.pdf,エルサルバドル,2024,エルサルバドル事務所,,405000000.0,400000000.0,2012-05-02,2015-05-09,2012-05-02,2017-04-25,23.0,38.0,高い,高い,高い,高い,やや低い,100.0,165.0,やや低い,JICA エルサルバドル事務所は、MARN や DGPC だけでなく、公共事業運輸省、教育省、サンサルバドル首都圏計画事務所、エルサルバドル大学、自治体などの関係機関の継続的な能力向上を目的として、日本や第三国で JICA が実施する地震・津波などの防災に関する各種研修に参加するよう調整を行った。,,高い,,無償,気象・地震,広域防災システム整備計画,1,中南米,中央アメリカ
424,https://www2.jica.go.jp/ja/evaluation/pdf/2021_1300203_4_f.pdf,エルサルバドル,2021,エルサルバドル事務所,,486000000.0,400000000.0,2014-04-01,2018-04-01,2014-05-01,2018-05-01,48.0,49.0,高い,やや低い,やや低い,やや低い,非常に高い,82.0,100.0,高い,,,高い,,技協,農業一般,東部地域野菜農家収益性向上プロジェクト,1,中南米,中央アメリカ
425,https://www2.jica.go.jp/ja/evaluation/pdf/2023_ES-SB1_4_f.pdf,エルサルバドル,2023,株式会社グローバル・グループ 21 ジャパン,福田幸正、木田暁子,5000000000.0,5000000000.0,2016-01-01,2018-12-01,2016-01-01,2020-03-27,36.0,51.0,高い,高い,高い,高い,該当せず,,,該当せず,JICA 地域部によれば、本事業の貸付実行にあたり、外務省と JICA 関係者は事前に手続きに関する確認を綿密に行うと共に、日本語とスペイン語で資料を準備し、実施機関側関係者への情報共有を早くから徹底していた。このような日本側のきめ細かく迅速な対応が実施機関との連携に結びつき、迅速な貸付実行を可能とした。,,,,有償,環境問題,災害復旧スタンドバイ借款,1,中南米,中央アメリカ
426,https://www2.jica.go.jp/ja/evaluation/pdf/2010_KAZ-P4_4_f.pdf,カザフスタン,2010,株式会社国際開発アソシエイツ,冨田まさみ,22052000000.0,49864000000.0,2000-12-01,2006-01-26,2000-12-01,2005-12-01,56.0,61.0,高い,,高い,,中程度,131.0,97.0,中程度,,,高い,,有償,道路,西カザフスタン道路改修事業,1,アジア,中央アジア
427,https://www2.jica.go.jp/ja/evaluation/pdf/2014_KAZ-P5_4_f.pdf,カザフスタン,2014,OPMAC 株式会社,小林信行,28481000000.0,55329000000.0,2003-07-01,2008-02-13,2003-07-01,2012-01-01,56.0,103.0,高い,,高い,高い,低い,194.0,184.0,中程度,,,一部課題がある,,有償,上水道、下水道,アスタナ上下水道整備事業,1,アジア,中央アジア
428,https://www2.jica.go.jp/ja/evaluation/pdf/2015_0605685_4_f.pdf,カザフスタン,2015,一般財団法人国際開発機構,朝戸恵子,934000000.0,797000000.0,2005-10-01,2010-09-01,2005-10-01,2010-09-01,60.0,60.0,高い,,中程度,中程度,高い,,,中程度,,,高い,,技協,人的資源一般,カザフスタン日本人材開発センタープロジェクトフェーズ2,1,アジア,中央アジア
429,https://www2.jica.go.jp/ja/evaluation/pdf/2010_0410300_4_f.pdf,カメルーン,2010,佐野総合企画株式会社,十津川淳,2617000000.0,2536000000.0,2004-08-01,2008-01-29,2004-08-01,2007-11-01,43.0,40.0,高い,,高い,高い,高い,96.0,93.0,高い,,,非常に高い,,無償,教育,第3次小学校建設計画,1,アフリカ,中央アフリカ
430,https://www2.jica.go.jp/ja/evaluation/pdf/2011_0605400_4_f.pdf,カメルーン,2011,カメルーン事務所,,993000000.0,804000000.0,2006-06-01,2007-12-13,2007-08-01,2009-03-01,34.0,42.0,高い,,高い,高い,中程度,81.0,114.0,低い,,,一部課題がある,,無償,水資源開発,第4次地方給水計画,1,アフリカ,中央アフリカ
431,https://www2.jica.go.jp/ja/evaluation/pdf/2011_0705300_4_f.pdf,カメルーン,2011,カメルーン事務所,,917000000.0,908000000.0,2007-08-01,2009-02-06,2007-08-01,2009-03-01,18.0,19.0,高い,,中程度,中程度,中程度,99.0,104.0,低い,,,低い,,無償,通信・放送一般,ラジオ放送機材整備計画,1,アフリカ,中央アフリカ
432,https://www2.jica.go.jp/ja/evaluation/pdf/2013_0868510_4_f.pdf,カメルーン,2013,コーエイ総合研究所,奥川浩士,1098000000.0,866000000.0,2009-03-01,2011-01-18,2009-04-01,2011-04-01,23.0,24.0,高い,,高い,高い,中程度,,106.0,中程度,,,高い,,無償,基礎教育,第四次小学校建設計画,1,アフリカ,中央アフリカ
433,https://www2.jica.go.jp/ja/evaluation/pdf/2021_1000710_4_f.pdf,カメルーン,2021,一般財団法人国際開発機構,浜岡真紀,420000000.0,420000000.0,2011-04-01,2016-03-01,2011-04-01,2016-03-01,60.0,60.0,高い,高い,やや低い,やや低い,高い,100.0,100.0,高い,,,高い,,技協,社会基盤一般,火口湖ガス災害防止の総合対策と人材育成プロジェクト,1,アフリカ,中央アフリカ
434,https://www2.jica.go.jp/ja/evaluation/pdf/2017_1160530_4_f.pdf,カメルーン,2017,アイ・シー・ネット株式会社,庄智之,1163000000.0,945000000.0,2011-07-01,2014-02-04,2011-07-01,2014-05-01,32.0,35.0,高い,高い,高い,高い,中程度,97.9,109.0,中程度,,,高い,,無償,教育,第五次小学校建設計画,1,アフリカ,中央アフリカ
435,https://www2.jica.go.jp/ja/evaluation/pdf/2019_1000646_4_f.pdf,カメルーン,2019,カメルーン事務所,,400000000.0,404000000.0,2011-07-01,2016-07-01,2011-07-01,2016-07-01,60.0,60.0,高い,,高い,高い,中程度,101.0,100.0,中程度,,,高い,,技協,農業一般,（科学技術）カメルーン熱帯雨林とその周辺地域における持続的生業戦略の確立と自然資源管理:地球規模課題と地域住民のニーズとの結合,1,アフリカ,中央アフリカ
436,https://www2.jica.go.jp/ja/evaluation/pdf/2017_1260270_4_f.pdf,カメルーン,2017,カメルーン事務所,,768000000.0,392000000.0,2012-09-07,,2012-09-07,,,32.0,高い,高い,高い,高い,中程度,51.0,124.0,中程度,,,高い,,無償,水資源開発,第五次地方給水計画,1,アフリカ,中央アフリカ
437,https://www2.jica.go.jp/ja/evaluation/pdf/2023_1300515_4_f.pdf,カメルーン,2023,カメルーン事務所,,250000000.0,268000000.0,2015-05-01,2017-04-13,2015-09-18,2017-09-29,24.0,25.0,高い,高い,高い,高い,高い,107.0,104.0,高い,JICA 本部広報部、および、カメルーン事務所、在カメルーン日本大使館は、カイゼンを実践する工場への著名人や日本のメディアの招聘、英語とフランス語でカイゼンを PR するミュージックビデオへの出演、前述の AFD との共同カイゼン研修の調整等を行い、在カメルーンフランス大使館のウェブサイトで紹介されるなど、カイゼンの認知・普及促進に貢献した。,,非常に高い,,技協,商業経営,中小企業品質・生産性向上（カイゼン）プロジェクト,1,アフリカ,中央アフリカ
438,https://www2.jica.go.jp/ja/evaluation/pdf/2011_CP-P4_4_f.pdf,カンボジア,2011,オクタヴィアジャパン株式会社,稲澤健一,10559000000.0,9658000000.0,1999-09-01,2004-03-16,2004-11-01,2010-03-01,104.0,151.0,高い,,高い,,中程度,94.0,156.0,高い,,,非常に高い,本報告書は「シハヌークヴィル港緊急リハビリ事業」と「シハヌークヴィル港緊急拡張事業」の2事業をまとめて評価している。,有償,港湾,シハヌークヴィル港緊急拡張事業,1,アジア,東南アジア
439,https://www2.jica.go.jp/ja/evaluation/pdf/2015_0601307_4_f.pdf,カンボジア,2015,カンボジア事務所,,400000000.0,384000000.0,2003-04-01,2008-03-01,2003-04-01,2008-03-01,60.0,60.0,高い,,高い,高い,高い,96.0,100.0,中程度,,,非常に高い,,技協,労働,ジェンダー政策立案支援計画プロジェクト,1,アジア,東南アジア
440,https://www2.jica.go.jp/ja/evaluation/pdf/2010_0306300_4_f.pdf,カンボジア,2010,カンボジア事務所,,905000000.0,767000000.0,2003-08-01,2006-04-25,2005-08-01,2006-11-01,71.0,81.0,高い,,高い,高い,中程度,85.0,119.0,中程度,,,高い,,無償,保健・医療,感染症対策計画,1,アジア,東南アジア
441,https://www2.jica.go.jp/ja/evaluation/pdf/2012_0601311_4_f.pdf,カンボジア,2012,カンボジア事務所,,488571428.5714285,513000000.0,2003-09-01,2008-09-01,2003-09-01,2008-09-01,60.0,60.0,高い,,高い,高い,中程度,105.0,100.0,中程度,,,高い,,技協,保健・医療,医療技術者育成プロジェクト,1,アジア,東南アジア
442,https://www2.jica.go.jp/ja/evaluation/pdf/2010_0601334_4_f.pdf,カンボジア,2010,カンボジア事務所,,299000000.0,293000000.0,2003-10-14,2006-10-13,2003-10-14,2006-10-13,36.0,36.0,高い,,高い,高い,高い,98.0,100.0,高い,,,非常に高い,,技協,上水道,水道事業人材育成プロジェクト,1,アジア,東南アジア
443,https://www2.jica.go.jp/ja/evaluation/pdf/2016_0601345_4_f.pdf,カンボジア,2016,カンボジア事務所,,250000000.0,213000000.0,2004-04-01,2007-04-04,2004-04-01,2008-04-01,36.0,49.0,高い,,高い,高い,中程度,85.0,133.0,中程度,,,高い,,技協,行政一般,法制度整備プロジェクト（フェーズ2）,1,アジア,東南アジア
444,https://www2.jica.go.jp/ja/evaluation/pdf/2015_0802730_4_f.pdf,カンボジア,2015,一般財団法人国際開発機構,濱田正章,1649000000.0,1811000000.0,2004-04-01,2009-03-01,2009-04-01,2014-03-01,60.0,60.0,高い,,高い,高い,中程度,110.0,100.0,中程度,,,高い,,技協,人的資源一般,カンボジア日本人材開発センタープロジェクトフェーズ2,1,アジア,東南アジア
445,https://www2.jica.go.jp/ja/evaluation/pdf/2012_0601322_4_f.pdf,カンボジア,2012,(株)アースアンドヒューマンコーポレーション,金子眞知,510000000.0,786000000.0,2004-08-01,2009-07-01,2004-08-01,2009-07-01,60.0,60.0,高い,,高い,高い,中程度,154.0,100.0,中程度,,,高い,,技協,保健・医療,結核対策プロジェクトフェーズ2,1,アジア,東南アジア
446,https://www2.jica.go.jp/ja/evaluation/pdf/2011_0411500_4_f.pdf,カンボジア,2011,新日本サステナビリティ株式会社,西川圭輔、志村明美,359000000.0,359000000.0,2004-11-01,2006-02-01,2004-11-01,2006-02-01,16.0,16.0,中程度,,低い,,高い,100.0,100.0,高い,,,低い,,無償,電力,プノンペン市電力供給施設整備・拡張計画,1,アジア,東南アジア
447,https://www2.jica.go.jp/ja/evaluation/pdf/2010_0411600_4_f.pdf,カンボジア,2010,カンボジア事務所,,996000000.0,979000000.0,2004-11-01,2007-06-18,2005-06-01,2007-06-04,56.0,57.0,高い,,高い,高い,高い,97.0,98.0,中程度,,,非常に高い,,無償,道路,主要幹線道路橋梁改修計画,1,アジア,東南アジア
448,https://www2.jica.go.jp/ja/evaluation/pdf/2011_0500200_4_f.pdf,カンボジア,2011,(株)アースアンドヒューマンコーポレーション,金子眞知,1740000000.0,1709000000.0,2005-01-01,2007-08-30,2005-01-01,2007-08-01,33.0,32.0,高い,,高い,,低い,98.0,97.0,中程度,,,一部課題がある,,無償,農業土木,カンダルスタン灌漑施設改修計画,1,アジア,東南アジア
449,https://www2.jica.go.jp/ja/evaluation/pdf/2012_0601342_4_f.pdf,カンボジア,2012,(株)アースアンドヒューマンコーポレーション,金子眞知,550000000.0,513000000.0,2005-02-01,2010-02-01,2011-03-01,2010-02-01,108.0,60.0,高い,,高い,高い,高い,93.0,100.0,高い,,,非常に高い,本報告書はフェーズ1の評価であり、フェーズ2は関連案件として記載されているのみ。,技協,水産,淡水養殖改善・普及計画,1,アジア,東南アジア
450,https://www2.jica.go.jp/ja/evaluation/pdf/2018_CP-P5_4_f.pdf,カンボジア,2018,三菱 UFJ リサーチ&コンサルティング株式会社,島村真澄,3746000000.0,3610000000.0,2005-03-01,2009-09-15,2005-03-01,2016-04-01,55.0,134.0,中程度,,低い,低い,中程度,96.0,244.0,低い,,,低い,,有償,電気通信,メコン地域通信基幹ネットワーク整備事業,1,アジア,東南アジア
451,https://www2.jica.go.jp/ja/evaluation/pdf/2020_1460410_4_f.pdf,カンボジア,2020,OPMAC 株式会社,小林信行,20334000000.0,19773000000.0,2005-06-01,2014-10-29,2010-03-01,2017-07-01,186.0,208.0,高い,,高い,高い,中程度,117.0,113.0,中程度,,,高い,,無償,道路,国道1号線都心区間改修計画,1,アジア,東南アジア
452,https://www2.jica.go.jp/ja/evaluation/pdf/2010_0503700_4_f.pdf,カンボジア,2010,カンボジア事務所,,865000000.0,622000000.0,2005-06-10,2008-03-08,2006-06-12,2008-01-30,55.0,52.0,高い,,高い,高い,高い,72.0,94.0,中程度,,,非常に高い,,無償,上水道,コンポンチャム州村落飲料水供給計画,1,アジア,東南アジア
453,https://www2.jica.go.jp/ja/evaluation/pdf/2011_0508800_4_f.pdf,カンボジア,2011,カンボジア事務所,,510000000.0,509000000.0,2005-08-01,2007-01-01,2005-08-01,2006-12-01,17.0,17.0,高い,,高い,高い,高い,100.0,94.0,中程度,,,非常に高い,,無償,教育,第2次プノンペン市小学校建設計画,1,アジア,東南アジア
454,https://www2.jica.go.jp/ja/evaluation/pdf/2010_0509000_4_f.pdf,カンボジア,2010,カンボジア事務所,,683000000.0,678000000.0,2005-08-01,2007-03-12,2005-08-01,2007-03-01,19.0,20.0,高い,,高い,高い,高い,99.0,98.0,中程度,,,非常に高い,,無償,保健・医療,バンティミエンチャイ州モンゴルボレイ病院整備計画,1,アジア,東南アジア
455,https://www2.jica.go.jp/ja/evaluation/pdf/2013_0601305_4_f.pdf,カンボジア,2013,カンボジア事務所,,369767441.8604651,477000000.0,2005-12-01,2010-12-01,2005-12-01,2010-12-01,61.0,61.0,高い,,中程度,中程度,中程度,129.0,100.0,中程度,,,一部課題がある,,技協,林業・森林保全,森林分野人材育成計画プロジェクトフェーズ2,1,アジア,東南アジア
456,https://www2.jica.go.jp/ja/evaluation/pdf/2017_0900388_4_f.pdf,カンボジア,2017,OPMAC 株式会社,小林信行,730000000.0,1173000000.0,2006-01-01,2009-07-01,2009-09-01,2014-08-01,103.0,103.0,高い,,高い,高い,中程度,98.0,100.0,中程度,,,高い,,技協,農業土木,流域灌漑管理及び開発能力改善プロジェクト（TSC3）,1,アジア,東南アジア
457,https://www2.jica.go.jp/ja/evaluation/pdf/2016_CP-P8_4_f.pdf,カンボジア,2016,三菱 UFJ リサーチ&コンサルティング株式会社,島村真澄,4240000000.0,4121000000.0,2006-03-01,2011-01-12,2006-03-01,2012-04-01,59.0,74.0,['中程度'],,['低い'],['低い'],['中程度'],97.0,125.0,['低い'],,,低い,,有償,工業一般,シハヌークヴィル港経済特別区開発事業,1,アジア,東南アジア
458,https://www2.jica.go.jp/ja/evaluation/pdf/2011_0600200_4_f.pdf,カンボジア,2011,(株)アースアンドヒューマンコーポレーション,金子眞知,1066000000.0,1059000000.0,2006-06-01,2008-04-23,2006-06-01,2008-12-01,22.0,29.0,高い,高い,高い,高い,中程度,99.0,132.0,高い,,,非常に高い,,無償,電力,モンドルキリ州小水力地方電化計画,1,アジア,東南アジア
459,https://www2.jica.go.jp/ja/evaluation/pdf/2017_0601400_4_f.pdf,カンボジア,2017,カンボジア事務所,,300000000.0,316000000.0,2006-11-01,2010-03-01,2006-11-01,2010-03-01,41.0,41.0,高い,,中程度,中程度,中程度,105.0,100.0,中程度,,,一部課題がある,,技協,農業一般,バッタンバン農村地域振興開発計画プロジェクト,1,アジア,東南アジア
460,https://www2.jica.go.jp/ja/evaluation/pdf/2012_0601331_4_f.pdf,カンボジア,2012,カンボジア事務所,,299218750.0,383000000.0,2007-01-01,2010-01-01,2007-01-01,2010-01-01,37.0,37.0,高い,,中程度,中程度,中程度,128.0,100.0,中程度,,,一部課題がある,,技協,行政一般,地方行政能力向上プロジェクト,1,アジア,東南アジア
461,https://www2.jica.go.jp/ja/evaluation/pdf/2012_0700100_4_f.pdf,カンボジア,2012,株式会社アースアンドヒューマンコーポレーション,十津川淳,2647000000.0,2357000000.0,2007-01-01,2010-02-12,2007-01-01,2010-02-01,37.0,37.0,高い,,高い,高い,高い,89.0,99.0,中程度,,,非常に高い,,無償,都市衛生,第二次プノンペン市洪水防御及び排水改善計画,1,アジア,東南アジア
462,https://www2.jica.go.jp/ja/evaluation/pdf/2012_0601330_4_f.pdf,カンボジア,2012,カンボジア事務所,,265000000.0,398000000.0,2007-03-01,2009-02-14,2007-03-01,2010-03-01,24.0,37.0,高い,,中程度,中程度,低い,150.0,153.0,中程度,,,低い,,技協,運輸交通一般,プノンペン市都市交通改善プロジェクト,1,アジア,東南アジア
463,https://www2.jica.go.jp/ja/evaluation/pdf/2016_CP-P7_4_f.pdf,カンボジア,2016,三菱UFJリサーチ&コンサルティング株式会社,島村真澄、矢野麻美子,6179000000.0,6100000000.0,2007-03-01,2010-12-15,2007-03-01,2014-05-01,46.0,87.0,高い,,高い,高い,中程度,99.0,189.0,高い,,,非常に高い,,有償,電力,メコン地域電力ネットワーク整備事業（カンボジア成長回廊）,1,アジア,東南アジア
464,https://www2.jica.go.jp/ja/evaluation/pdf/2018_1000207_4_f.pdf,カンボジア,2018,カンボジア事務所,,900000000.0,1038000000.0,2007-04-01,2010-06-22,2010-10-01,2015-09-01,96.0,102.0,高い,,高い,高い,中程度,115.0,106.0,中程度,,,高い,,技協,統計,政府統計能力向上プロジェクトフェーズ3,1,アジア,東南アジア
465,https://www2.jica.go.jp/ja/evaluation/pdf/2020_1100178_4_f.pdf,カンボジア,2020,OPMAC 株式会社,小林信行,919000000.0,1191000000.0,2007-04-01,2011-03-06,2012-11-01,2018-06-01,108.0,127.0,高い,,高い,高い,中程度,141.0,123.0,高い,,,非常に高い,本報告書はフェーズ2とフェーズ3をまとめて評価している。評価レーティングは両フェーズに共通。,技協,上水道,水道事業人材育成プロジェクト・フェーズ3,1,アジア,東南アジア
466,https://www2.jica.go.jp/ja/evaluation/pdf/2013_0601408_4_f.pdf,カンボジア,2013,有限会社アイエムジー,津曲真樹,327000000.0,366000000.0,2007-10-01,2011-03-01,2007-10-01,2011-03-01,42.0,42.0,高い,,中程度,中程度,中程度,112.0,100.0,中程度,,,一部課題がある,,技協,総合地域開発計画,北東州地域開発能力向上計画プロジェクト,1,アジア,東南アジア
467,https://www2.jica.go.jp/ja/evaluation/pdf/2013_0800100_4_f.pdf,カンボジア,2013,一般財団法人国際開発機構,原田郷子,1045000000.0,979000000.0,2008-01-01,2010-09-22,2008-01-01,2011-03-01,33.0,38.0,高い,,高い,高い,中程度,94.0,116.0,中程度,,,高い,,無償,保健・医療,コンポンチャム州病院改善計画,1,アジア,東南アジア
468,https://www2.jica.go.jp/ja/evaluation/pdf/2013_0701732_4_f.pdf,カンボジア,2013,カンボジア事務所,,210400000.0,263000000.0,2008-04-01,2010-09-01,2008-04-01,2010-09-01,30.0,30.0,高い,,中程度,中程度,中程度,125.0,100.0,中程度,,,一部課題がある,,技協,情報・広報,人間の安全保障実現化のためのCMAC機能強化プロジェクト,1,アジア,東南アジア
469,https://www2.jica.go.jp/ja/evaluation/pdf/2016_0701047_4_f.pdf,カンボジア,2016,カンボジア事務所,,390000000.0,295000000.0,2008-04-01,2012-03-01,2008-04-01,2012-03-01,48.0,48.0,高い,,高い,高い,高い,76.0,100.0,中程度,,,非常に高い,,技協,行政一般,法制度整備プロジェクト（フェーズ3）,1,アジア,東南アジア
470,https://www2.jica.go.jp/ja/evaluation/pdf/2020_1200172_4_f.pdf,カンボジア,2020,カンボジア事務所,,936000000.0,957000000.0,2008-09-01,2012-08-01,2013-06-01,2016-05-01,83.0,84.0,高い,,高い,高い,中程度,114.0,100.0,中程度,,,高い,,技協,中等教育,前期中等理数科教育のための教師用指導書開発プロジェクト,1,アジア,東南アジア
471,https://www2.jica.go.jp/ja/evaluation/pdf/2013_0867810_4_f.pdf,カンボジア,2013,カンボジア事務所,,230000000.0,229000000.0,2009-01-11,2010-03-30,2009-01-11,2010-09-24,14.0,20.0,高い,,高い,高い,中程度,100.0,140.0,中程度,,,高い,,無償,保健・医療,感染症対策強化計画,1,アジア,東南アジア
472,https://www2.jica.go.jp/ja/evaluation/pdf/2014_0800164_4_f.pdf,カンボジア,2014,カンボジア事務所,,279545454.54545456,246000000.0,2009-03-01,2011-11-01,2009-03-01,2011-11-01,33.0,33.0,高い,,中程度,中程度,高い,88.0,100.0,低い,,,一部課題がある,,技協,港湾,港湾政策・行政システム構築プロジェクト,1,アジア,東南アジア
473,https://www2.jica.go.jp/ja/evaluation/pdf/2016_CP-P9_4_f.pdf,カンボジア,2016,三菱 UFJ リサーチ&コンサルティング株式会社,島村真澄、近藤碧,6532000000.0,6686000000.0,2009-03-01,2013-04-08,2009-03-01,2014-08-01,50.0,66.0,高い,,高い,高い,中程度,102.0,132.0,高い,,,非常に高い,,有償,上水道,ニロート上水道整備事業,1,アジア,東南アジア
474,https://www2.jica.go.jp/ja/evaluation/pdf/2012_0868480_4_f.pdf,カンボジア,2012,カンボジア事務所,,548000000.0,512000000.0,2009-03-18,2010-07-17,2009-03-18,2010-02-17,16.0,11.0,高い,,高い,高い,高い,93.0,69.0,中程度,,,非常に高い,,無償,その他,第五次地雷除去活動機材整備計画,1,アジア,東南アジア
475,https://www2.jica.go.jp/ja/evaluation/pdf/2015_0800169_4_f.pdf,カンボジア,2015,カンボジア事務所,,398000000.0,425000000.0,2009-05-01,2012-10-01,2009-05-01,2012-10-01,42.0,42.0,高い,,中程度,中程度,中程度,106.0,100.0,中程度,,,一部課題がある,,技協,道路,建設の品質管理強化プロジェクト,1,アジア,東南アジア
476,https://www2.jica.go.jp/ja/evaluation/pdf/2014_0960200_4_f.pdf,カンボジア,2014,カンボジア事務所,,524000000.0,436000000.0,2009-06-15,2011-01-11,2009-06-15,2011-05-24,19.0,23.0,高い,,高い,高い,中程度,83.0,123.0,高い,,,非常に高い,,無償,基礎教育,第三次プノンペン市小学校建設計画,1,アジア,東南アジア
