,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,プロジェクト期,国名,評価年度,評価会社,評価者,プロジェクトコスト_計画時,プロジェクトコスト_実績,プロジェクトコスト_被援助国負担額,プロジェクトコスト_計画時_int,プロジェクトコスト_実績_int,プロジェクトコスト_被援助国負担額_int,プロジェクト期間開始_計画時,プロジェクト期間終了_計画時,プロジェクト期間開始_実績,プロジェクト期間終了_実績,事前評価時_プロジェクト期間（月）,実績_プロジェクト期間（月）,妥当性評価,整合性評価,有効性評価,インパクト評価,効率性評価,効率性_コスト,効率性_期間,持続性評価,適応・貢献評価,付加価値・創造価値評価,総合評価,備考,file,事業形態,分野,案件名,left_4,連番
194,194,194.0,194.0,1,キルギス,2015,一般財団法人 国際開発機構,藤田伸子,,888百万円,,,888000000,,2003年4月,2008年3月,2003年4月,2008年3月,60,60,高い,,高い,高い,高い,,100%,中程度,,,非常に高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2015_0605709_4_f.pdf,技協,人的資源一般,キルギス共和国日本人材開発センタープロジェクト,キルギス,4
195,195,195.0,195.0,2,キルギス,2015,一般財団法人 国際開発機構,藤田伸子,830百万円,686百万円,,830000000,686000000,,2008年4月,2013年3月,2008年4月,2013年3月,60,60,高い,,高い,高い,高い,,100%,中程度,,,非常に高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2015_0605709_4_f.pdf,技協,人的資源一般,キルギス共和国日本人材開発センタープロジェクト,キルギス,3
188,188,188.0,188.0,1,キルギス,2015,一般財団法人 国際開発機構,藤田伸子,,888百万円,,,888000000,,2003年4月,2008年3月,2003年4月,2008年3月,60,60,高い,,高い,高い,高い,,100%,中程度,,,非常に高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2015_0801101_4_f.pdf,技協,人的資源一般,キルギス共和国日本人材開発センタープロジェクトフェーズ2,キルギス,2
189,189,189.0,189.0,2,キルギス,2015,一般財団法人 国際開発機構,藤田伸子,830百万円,686百万円,,830000000,686000000,,2008年4月,2013年3月,2008年4月,2013年3月,60,60,高い,,高い,高い,高い,83%,100%,中程度,,,非常に高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2015_0801101_4_f.pdf,技協,人的資源一般,キルギス共和国日本人材開発センタープロジェクトフェーズ2,キルギス,1
187,187,187.0,187.0,1,キルギス,2016,株式会社日本経済研究所,畔田弘文,300百万円,279百万円,1.6百万ソム,300000000,279000000,,2008年11月,2013年10月,2009年1月,2014年1月,60,60,高い,,中程度,中程度,高い,93%,100%,中程度,,,高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2016_0801097_4_f.pdf,技協,林業・森林保全,共同森林管理実施能力向上プロジェクト,共同森林,1
2254,2254,2254.0,2254.0,1,キルギス,2018,株式会社国際開発センター,シーク美実,"1,248百万円","1,171百万円",,1248000000,1171000000,,2013年3月,2015年6月,2013年3月,2015年10月,28,32,高い,,高い,高い,中程度,93%,114%,高い,,,非常に高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2018_1360060_4_f.pdf,無償,道路,ビシュケク-オシュ道路クガルト川橋梁架け替え計画,ビシュケ,1
2253,2253,2253.0,2253.0,1,キルギス,2018,株式会社国際開発センター,シーク美実,"2,491百万円","2,459百万円",,2491000000,2459000000,,2014年8月,2016年1月,2014年8月,2015年11月,18,16,高い,,中程度,中程度,高い,99%,88.8%,中程度,,,高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2018_1360530_4_f.pdf,無償,運輸交通一般、道路,オシュ州、ジャララバード州及びタラス州道路維持管理機材整備計画,オシュ州,1
185,185,185.0,185.0,1,キルギス,2019,キルギス事務所,,198百万円,221百万円,,198000000,221000000,,,,2013年6月,2016年1月,,32,高い,,中程度,中程度,中程度,112%,110%,中程度,,,一部課題がある,,https://www2.jica.go.jp/ja/evaluation/pdf/2019_1200296_4_f.pdf,技協,運輸交通一般,橋梁・トンネル維持管理能力向上プロジェクト,橋梁・ト,1
2252,2252,2252.0,2252.0,1,キルギス,2021,アルメック VPI,下村暢子,"1,630百万円","1,540百万円",総事業費の1%以下,1630000000,1540000000,,2014年8月,2016年9月,2015年12月,2018年3月,26,28,高い,高い,高い,高い,高い,94.5%,108%,高い,本事業では機材整備を行った2018年の前後して、ICAO とキルギス政府の間で空港安全のための技術支援についての合意書が結ばれ、継続的に欧州、米国、トルコ等から空港関係者の安全のための技術支援を受けている。これらはマナス国際空港の安全性に寄与することから、本事業の目的に間接的に貢献していると考えられる。,,非常に高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2021_1460280_4_f.pdf,無償,航空・空港,マナス国際空港機材整備計画,マナス国,1
2251,2251,2251.0,2251.0,1,キルギス,2021,キルギス事務所,,441百万円,438百万円,,441000000,438000000,,2017年3月30日,2017年9月,2017年3月30日,2018年11月1日,6,19,高い,高い,非常に高い,非常に高い,高い,99%,106%,高い,,,非常に高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2021_1560730_4_f.pdf,無償,運輸交通一般,道路維持管理機材整備場改善計画,道路維持,1
183,183,183.0,183.0,1,キルギス,2022,株式会社アルメック,下村暢子,312百万円,336百万円,,312000000,336000000,,2016年4月,2019年5月,2016年4月,2019年5月,38,38,高い,高い,やや低い,やや低い,高い,108%,100%,やや低い,,,一部課題がある,,https://www2.jica.go.jp/ja/evaluation/pdf/2022_1400376_4_f.pdf,技協,道路,道路防災対応能力強化プロジェクト,道路防災,1
186,186,186.0,186.0,1,キルギス,2023,キルギス事務所,,505百万円,599百万円,,505000000,599000000,,2013年2月,2018年1月,2013年6月,2020年2月,60,80,高い,高い,高い,高い,やや低い,118%,133%,やや低い,,,高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2023_1200282_4_f.pdf,技協,農業一般,輸出のための野菜種子生産振興プロジェクト,輸出のた,1
184,184,184.0,184.0,1,キルギス,2023,キルギス共和国事務所,,439百万円,442百万円,管理費 職員への手当及び事務所運営費用の一部,439000000,442000000,,2015年9月,2019年9月,2015年9月,2019年12月,48,52,高い,高い,高い,高い,高い,101%,108%,やや低い,JICA は、JICA からのインプットを含め、計画以上に任務を果たし、成果に貢献した。(計画より専門家が1人増加)。また、JICA は、7回の合同調整委員会(事業の意思決定機関)すべてに参加するなど、適切な事業監理を行った。さらに、JICAは、実施機関を含む関係者が事業環境の変化に応じて事業計画を修正することを支援した。,,高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2023_1400371_4_f.pdf,技協,林業・森林保全,林産品による地方ビジネス開発プロジェクト,林産品に,1
182,182,182.0,182.0,1,キルギス,2024,キルギス事務所,,376百万円,338百万円,,376000000,338000000,,2017年7月,2020年11月,2017年8月,2020年11月,41,40,高い,やや低い,高い,高い,非常に高い,90%,98%,高い,,,非常に高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2024_201600228_4_f.pdf,技協,財政・金融,税務局人材育成システム向上プロジェクト,税務局人,1
2732,2732,0.0,,1,ギニア,2012,(株)アースアンドヒューマンコーポレーション,金子眞知,860百万円,835百万円,,860000000,835000000,,2005年6月,2007年4月,2005年6月,2008年2月,22,29,['高い'],,['中程度'],['中程度'],['中程度'],97.1%,132%,['低い'],,,低い,「コナクリ市飲料水供給改善計画」第1期。被援助国負担額(事業全体)は計画約86百万円、実績約73百万円。,https://www2.jica.go.jp/ja/evaluation/pdf/2012_0505700_4_f.pdf,無償,上水道,コナクリ市飲料水供給改善計画,コナクリ,3
2733,2733,1.0,,2,ギニア,2012,(株)アースアンドヒューマンコーポレーション,金子眞知,675百万円,30百万円,,675000000,30000000,,2006年7月,,2006年7月,2007年1月,,7,['高い'],,['中程度'],['中程度'],['中程度'],4.4%,,['低い'],,,低い,「コナクリ市飲料水供給改善計画」第2期。ゼネストにより打ち切り。D/D、入札関連業務のみ実施。,https://www2.jica.go.jp/ja/evaluation/pdf/2012_0505700_4_f.pdf,無償,上水道,コナクリ市飲料水供給改善計画,コナクリ,2
2734,2734,2.0,,3,ギニア,2012,(株)アースアンドヒューマンコーポレーション,金子眞知,745百万円,700百万円,,745000000,700000000,,2007年11月,2009年3月,2007年11月,2009年10月,16,21,['高い'],,['中程度'],['中程度'],['中程度'],94.0%,132%,['低い'],,,低い,「首都飲料水供給改善計画」。コナクリ市飲料水供給改善計画の第2期工事中断分を再開した事業。,https://www2.jica.go.jp/ja/evaluation/pdf/2012_0505700_4_f.pdf,無償,上水道,コナクリ市飲料水供給改善計画,コナクリ,1
2735,2735,0.0,,1,ギニア,2012,ビンコーインターナショナル株式会社,中村祐美子,546百万円,544百万円,1.5百万円,546000000,544000000,1500000,2004年6月,2006年3月,2004年6月,2006年3月,,,高い,,高い,高い,中程度,,100%,中程度,,,高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2012_0505800_4_f.pdf,無償,上水道,中部ギニア農村飲料水供給計画,中部ギニ,2
2736,2736,1.0,,2,ギニア,2012,ビンコーインターナショナル株式会社,中村祐美子,527百万円,525百万円,1.5百万円,527000000,525000000,1500000,2005年6月,2007年6月,2005年6月,2007年6月,,,高い,,高い,高い,中程度,,100%,中程度,,,高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2012_0505800_4_f.pdf,無償,上水道,中部ギニア農村飲料水供給計画,中部ギニ,1
2729,2729,0.0,,1,ギニア,2012,(株)アースアンドヒューマンコーポレーション,金子眞知,860百万円,835百万円,73百万円,860000000,835000000,73000000,2005年6月,2007年3月,2005年6月,2008年2月,22,29,高い,,中程度,中程度,中程度,,132%,低い,,,低い,本案件は「コナクリ市飲料水供給改善計画」の第1期工事に該当します。被援助国負担額はプロジェクト全体の合計額。有効性評価にはインパクト評価が含まれます。実績期間は治安悪化に伴う延長期間(4ヶ月)を除いた月数です。,https://www2.jica.go.jp/ja/evaluation/pdf/2012_0710000_4_f.pdf,無償,上水道,首都飲料水供給改善計画,首都飲料,3
2730,2730,1.0,,2,ギニア,2012,(株)アースアンドヒューマンコーポレーション,金子眞知,675百万円,30百万円,73百万円,675000000,30000000,73000000,2006年7月,,2006年7月,2007年1月,,6,高い,,中程度,中程度,中程度,,,低い,,,低い,本案件は「コナクリ市飲料水供給改善計画」の第2期工事に該当しますが、政情不安により一部業務（D/D、入札関連業務のみ）を実施後、打ち切りとなりました。被援助国負担額はプロジェクト全体の合計額。有効性評価にはインパクト評価が含まれます。,https://www2.jica.go.jp/ja/evaluation/pdf/2012_0710000_4_f.pdf,無償,上水道,首都飲料水供給改善計画,首都飲料,2
2731,2731,2.0,,3,ギニア,2012,(株)アースアンドヒューマンコーポレーション,金子眞知,745百万円,700百万円,73百万円,745000000,700000000,73000000,2007年11月,2009年2月,2007年11月,2009年10月,16,20.5,高い,,中程度,中程度,中程度,,132%,低い,,,低い,本案件は「首都飲料水供給改善計画」として、「コナクリ市飲料水供給改善計画 第2期」の中断分を再開した事業です。被援助国負担額はプロジェクト全体の合計額。有効性評価にはインパクト評価が含まれます。実績期間は治安悪化に伴う延長期間(2.5ヶ月)を除いた月数です。,https://www2.jica.go.jp/ja/evaluation/pdf/2012_0710000_4_f.pdf,無償,上水道,首都飲料水供給改善計画,首都飲料,1
2727,2727,0.0,,1,ギニア,2012,セネガル事務所,,448百万円,445百万円,,448000000,445000000,,2007年11月26日,2009年11月,2007年11月26日,2010年3月8日,24,28,高い,,高い,高い,高い,99%,118%,中程度,,,非常に高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2012_0806200_4_f.pdf,無償,水産,ブルビネ零細漁港改善計画,ブルビネ,2
2728,2728,1.0,,2,ギニア,2012,セネガル事務所,,321百万円,317百万円,,321000000,317000000,,2008年9月15日,2009年12月,2008年9月15日,2010年3月8日,15,18,高い,,高い,高い,高い,99%,118%,中程度,,,非常に高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2012_0806200_4_f.pdf,無償,水産,ブルビネ零細漁港改善計画,ブルビネ,1
877,877,877.0,877.0,1,ギニア,2019,セネガル事務所,,350百万円,303百万円,,350000000,303000000,,2012年9月,2014年8月,2012年9月,2016年8月,24,48,高い,,中程度,中程度,高い,87%,200%,中程度,,,高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2019_1103782_4_f.pdf,技協,測量・地図,コナクリ都市圏大縮尺地形図作成プロジェクト,コナクリ,1
2726,2726,0.0,,1,ギニア,2020,Value Frontier(株),石森康一郎、石本樹里,"1,609.87百万円","1,563.35百万円",4.35百万円,1609870000,1563350000,4350000,2013年6月,2015年6月,2013年6月,2019年5月,25,72,高い,,高い,高い,高い,97%,100%,中程度,,,非常に高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2020_1360030_4_f.pdf,無償,運輸交通一般,国道一号線橋梁改修計画,国道一号,1
2725,2725,0.0,,1,ギニア,2022,セネガル事務所(ギニアフィールドオフィス),,"1,319百万円",973百万円,,1319000000,973000000,,2014年12月1日,2016年3月,2014年12月1日,2017年8月30日,16,33,高い,高い,高い,高い,高い,74%,122%,低い,,,高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2022_1460460_4_f.pdf,無償,上水道,コナクリ市中部高台地区飲料水供給改善計画,コナクリ,1
2724,2724,0.0,,1,ギニア,2023,Value Frontier 株式会社,石森康一郎,"1,932百万円","1,813百万円",14百万円,1932000000,1813000000,14000000,2017年10月,2019年12月,2017年10月,2019年12月,27,27,高い,高い,高い,高い,非常に高い,,,やや低い,,,高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2023_1760440_4_f.pdf,無償,教育,第二次首都圏周辺地域小中学校建設計画,第二次首,1
2738,2738,0.0,,1,ギニアビサウ,2016,セネガル事務所,,856百万円,741百万円,,856000000,741000000,,2010年6月9日,2012年3月9日,2010年6月9日,2012年2月10日,21,20,高い,,中程度,中程度,高い,87%,95%,低い,,,一部課題がある,,https://www2.jica.go.jp/ja/evaluation/pdf/2016_1060360_4_f.pdf,無償,水産,トンバリ州零細漁業施設建設計画,トンバリ,1
2737,2737,0.0,,1,ギニアビサウ,2017,株式会社タック・インターナショナル,稲垣仁美,931百万円,838百万円,6百万円,931000000,838000000,6000000,2012年2月,2014年1月,2012年2月,2014年4月,24,27,高い,,高い,高い,中程度,90%,113%,中程度,,,高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2017_1161150_4_f.pdf,無償,教育,ビサウ市小学校建設計画,ビサウ市,1
1226,1226,1226.0,1226.0,1,クロアチア,2018,中東・欧州部欧州課,,390百万円,373百万円,,390000000,373000000,,2009年3月,2013年11月,2009年3月,2014年3月,57,61,高い,,中程度,中程度,中程度,96%,107%,中程度,,,一部課題がある,,https://www2.jica.go.jp/ja/evaluation/pdf/2018_0802842_4_f.pdf,技協,河川・砂防,土砂・洪水災害軽減プロジェクト,土砂・洪,1
2574,2574,2574.0,0.0,1,グアテマラ,2010,財団法人国際開発高等教育機構,朝戸恵子,"711,000千円","710,000千円","5,378千ケツァル",711000000,710000000,73194580,2004年8月12日,2007年3月,2004年8月31日,2007年3月15日,32,30.5,高い,,高い,,高い,99.7%,95%,高い,,,非常に高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2010_0410700_4_f.pdf,無償,上水道,ケツァルテナンゴ市給水施設改善計画,ケツァル,2
2575,2575,2575.0,1.0,2,グアテマラ,2010,財団法人国際開発高等教育機構,朝戸恵子,"1,048,000千円","1,044,000千円",,1048000000,1044000000,,2005年6月20日,2007年3月,,,,,高い,,高い,,高い,,,高い,,,非常に高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2010_0410700_4_f.pdf,無償,上水道,ケツァルテナンゴ市給水施設改善計画,ケツァル,1
2572,2572,2572.0,0.0,1,グアテマラ,2010,グアテマラ駐在員事務所,,660百万円,644百万円,,660000000,644000000,,2006年6月,,2006年6月,2008年2月,,20,高い,,中程度,中程度,中程度,98%,101%,低い,,,一部課題がある,,https://www2.jica.go.jp/ja/evaluation/pdf/2010_0607100_4_f.pdf,無償,上水道,第3次地方浄水場改修計画,第3次地,1
2573,2573,2573.0,0.0,1,グアテマラ,2010,グアテマラ駐在員事務所,,899百万円,890百万円,,899000000,890000000,,2006年8月,,2006年8月,2008年3月,,20,高い,,高い,高い,中程度,99%,108%,中程度,,,高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2010_0609500_4_f.pdf,無償,保健・医療,首都圏主要国立病院整備計画,首都圏主,1
2576,2576,2576.0,0.0,1,グアテマラ,2011,グアテマラ事務所,,537百万円,421百万円,,537000000,421000000,,2004年11月,2007年3月,2004年11月,2007年3月,29,29,高い,,中程度,中程度,高い,88%,100%,低い,,,一部課題がある,,https://www2.jica.go.jp/ja/evaluation/pdf/2011_0412400_4_f.pdf,無償,上水道,地方地下水開発計画,地方地下,2
2577,2577,2577.0,1.0,2,グアテマラ,2011,グアテマラ事務所,,440百万円,438百万円,,440000000,438000000,,2005年6月,2007年3月,2005年6月,2007年3月,22,22,高い,,中程度,中程度,高い,88%,100%,低い,,,一部課題がある,,https://www2.jica.go.jp/ja/evaluation/pdf/2011_0412400_4_f.pdf,無償,上水道,地方地下水開発計画,地方地下,1
2010,2010,2010.0,2010.0,1,グアテマラ,2011,株式会社日本開発サービス,羽地朝新,"6,690百万円","9,544百万円","3,767百万円",6690000000,9544000000,3767000000,1997年,2001年,2003年1月,2009年1月,30,73,高い,,中程度,中程度,低い,143%,243%,高い,,,一部課題がある,B-3区間の一部が地滑りのため未完成。,https://www2.jica.go.jp/ja/evaluation/pdf/2011_GT-P4_4_f.pdf,有償,道路,地方道路整備事業,地方道路,1
702,702,702.0,702.0,1,グアテマラ,2012,グアテマラ事務所,,192百万円,309百万円,,192000000,309000000,,,,2006年3月,2009年12月,44,46,高い,,中程度,中程度,中程度,161%,105%,中程度,,,一部課題がある,,https://www2.jica.go.jp/ja/evaluation/pdf/2012_0603063_4_f.pdf,技協,都市衛生,首都圏水環境保全能力強化プロジェクト,首都圏水,1
699,699,699.0,699.0,1,グアテマラ,2013,グアテマラ国事務所,,,253百万円,,,253000000,,2007年9月,2010年9月,2007年9月,2010年9月,36,36,高い,,中程度,中程度,中程度,112%,100%,中程度,,,一部課題がある,,https://www2.jica.go.jp/ja/evaluation/pdf/2013_0603071_4_f.pdf,技協,観光一般,観光自治管理委員会強化プロジェクト,観光自治,1
700,700,700.0,700.0,1,グアテマラ,2014,グアテマラ事務所,,,425百万円,3.27 百万ケツァル,,425000000,,2006年10月,2011年10月,2006年10月,2011年10月,60,60,高い,,中程度,中程度,中程度,108%,100%,低い,,,低い,,https://www2.jica.go.jp/ja/evaluation/pdf/2014_0603059_4_f.pdf,技協,農業一般,高原地域先住民等小農生活改善に向けた農業技術普及体制構築計画,高原地域,1
2570,2570,2570.0,0.0,1,グアテマラ,2015,株式会社グローバル・グループ 21 ジャパン,スズキS.ヒロミ,"1,003百万円","1,003百万円",111百万円,1003000000,1003000000,111000000,2010年1月,2013年5月,2010年1月,2014年3月,41,50,高い,,高い,高い,中程度,100%,122%,中程度,,,高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2015_0961070_4_f.pdf,無償,電気通信、電力,クリーン・エネルギーによる北部村落生産活動促進計画,クリーン,1
2571,2571,2571.0,0.0,1,グアテマラ,2016,グアテマラ事務所,,548百万円,546百万円,,548000000,546000000,,2010年3月16日,,2010年3月16日,2012年7月18日,,28,高い,,低い,低い,中程度,100%,109%,低い,,,低い,,https://www2.jica.go.jp/ja/evaluation/pdf/2016_0961970_4_f.pdf,無償,保健・医療,ティカル国立公園文化遺産保存研究センター建設計画,ティカル,1
701,701,701.0,701.0,1,グアテマラ,2017,グアテマラ事務所,,190百万円,205百万円,,190000000,205000000,,2005年10月,2009年9月,2005年10月,2009年9月,48,48,高い,,高い,高い,中程度,108%,100%,中程度,,,高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2017_0603058_4_f.pdf,技協,基礎保健,ケツァルテナンゴ県こどもの健康プロジェクト,ケツァル,2
698,698,698.0,698.0,1,グアテマラ,2017,グアテマラ事務所,,350百万円,352百万円,,350000000,352000000,,2010年3月,2013年6月,2010年3月,2013年6月,39,39,高い,,中程度,中程度,中程度,101%,100%,中程度,,,一部課題がある,,https://www2.jica.go.jp/ja/evaluation/pdf/2017_0800496_4_f.pdf,技協,上水道,給水委員会強化とコミュニティ開発プロジェクト,給水委員,1
697,697,697.0,697.0,1,グアテマラ,2017,グアテマラ事務所,,380百万円,378百万円,,380000000,378000000,,2011年3月,2015年3月,2011年3月,2015年3月,48,48,高い,,中程度,中程度,高い,99%,100%,中程度,,,高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2017_0900666_4_f.pdf,技協,保健・医療,ケツァルテナンゴ県、トトニカパン県、ソロラ県母とこどもの健康プロジェクト,ケツァル,1
696,696,696.0,696.0,1,グアテマラ,2018,グアテマラ事務所,,350百万円,234百万円,ローカルコスト 普及員の車両・バイク（一部の市対象）、一部のパイロット市は活動に係る経費の一部を負担,350000000,234000000,,2013年3月,2016年9月,2013年3月,2016年9月,43,43,高い,,中程度,中程度,高い,67%,100%,中程度,,,高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2018_1200171_4_f.pdf,技協,行政一般,地方自治体能力強化プロジェクト,地方自治,1
2009,2009,2009.0,2009.0,1,グアテマラ,2020,株式会社グローバル・グループ 21 ジャパン,薗田元,"9,810百万円","17,045百万円","9,696百万円",9810000000,17045000000,9696000000,2005年10月,2010年12月,2006年2月,2021年3月,63,183,高い,,高い,高い,低い,174%,290%,中程度,,,一部課題がある,未完,https://www2.jica.go.jp/ja/evaluation/pdf/2020_GT-P5_4_f.pdf,有償,道路,和平地域道路整備事業,和平地域,1
695,695,695.0,695.0,1,グアテマラ,2023,グアテマラ事務所,,210百万円,227百万円,,210000000,227000000,,2017年1月,2019年7月,2016年12月,2019年8月,30,33,高い,高い,高い,高い,高い,108%,110%,高い,,,非常に高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2023_1500323_4_f.pdf,技協,中等教育,前期中等数学科教育の質改善プロジェクト,前期中等,1
2579,2579,2579.0,0.0,1,グレナダ,2014,アイ・シー・ネット株式会社,オレニコブ麻紀子、宇田川和夫,"1,181百万円","1,188百万円",19百万円,1181000000,1188000000,19000000,2010年1月,2011年11月,2009年12月,2011年11月,23,23,高い,,高い,高い,中程度,101%,100%,中程度,,,高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2014_0961080_4_f.pdf,無償,水産,ゴーブ伝統的漁業地域基盤改善計画,ゴーブ伝,1
2578,2578,2578.0,0.0,1,グレナダ,2021,セントルシア事務所,,484百万円,403百万円,,484000000,403000000,,2014年9月25日,2015年12月,2014年9月25日,2016年9月22日,16,25,高い,,中程度,中程度,中程度,83%,156%,中程度,,,一部課題がある,,https://www2.jica.go.jp/ja/evaluation/pdf/2021_1460360_4_f.pdf,無償,水産,水産関連機材整備計画,水産関連,1
2767,0,,,1,ケニア,2010,OPMAC 株式会社,小林信行,"1,110.9百万円","1,019.9百万円",,1110900000,1019900000,,2002年1月,2004年8月,2002年3月,2005年8月,32,28,高い,,高い,,高い,94%,88%,中程度,,,非常に高い,プロジェクトコストの実績は日本側負担分のみ。被援助国の実績負担額は不明。プロジェクト期間終了_計画時は、プロジェクト期間開始_計画時（2002年1月）に計画期間（32ヶ月）を加えて算出。,https://www2.jica.go.jp/ja/evaluation/pdf/2010_0200600_4_f.pdf,無償,運輸交通一般,アティ橋・イクサ橋架け替え計画,アティ橋,1
913,913,913.0,913.0,2,ケニア,2011,"株式会社アイコンズ, 三菱UFJリサーチ&コンサルティング株式会社","伊藤治夫, 井ノ口一善",約12億円,"16億8,939万円","811,558千ケニア・シリング",1200000000,1689390000,1217337000,2003年7月,2008年6月,2003年7月,2008年12月,60,66,高い,,高い,高い,中程度,141%,110%,中程度,,,高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2011_0604711_4_f.pdf,技協,中等教育,中等理数科教育強化計画プロジェクトフェーズ2,中等理数,1
908,908,908.0,908.0,1,ケニア,2011,ケニア事務所,,,368 百万円,,,368000000,,2005年2月,2009年2月,2005年2月,2009年7月,48,53,高い,,高い,高い,中程度,111%,112%,中程度,,,高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2011_0604718_4_f.pdf,技協,環境問題,ナクル地域における環境管理能力向上プロジェクト,ナクル地,1
911,911,911.0,911.0,1,ケニア,2011,ケニア事務所,,360百万円,333百万円,,360000000,333000000,,2005年3月,2008年1月,2005年3月,2008年3月,35,36,高い,,高い,高い,中程度,92.5%,102%,中程度,,,高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2011_0604720_4_f.pdf,技協,保健・医療,西部地域保健医療サービス向上プロジェクト,西部地域,1
912,912,912.0,912.0,1,ケニア,2011,ケニア事務所,,390.5 百万円,453 百万円,39 百万円,390517241,453000000,39000000,2004年3月,2009年3月,2004年3月,2009年3月,60,60,高い,,高い,高い,中程度,116%,100%,中程度,,,高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2011_0604735_4_f.pdf,技協,林業・森林保全,半乾燥地社会林業強化プロジェクト,半乾燥地,1
2766,0,,,1,ケニア,2011,ケニア事務所,,497百万円,488百万円,,497000000,488000000,,2006年9月,,2006年9月,2008年2月,,18,高い,,高い,高い,中程度,98%,125%,中程度,,,高い,本事業は2期に分けて実施されており、本評価の対象は第1期分(1/2)のみ。残りの第2期分(2/2)(マチャコス県及びマクエニ県)は2007年5月に交換公文を締結するも、入札不調により中断。「第二次地方給水計画」と名称変更のうえ、再度事業化調査を行い、2011年8月に交換公文を締結。,https://www2.jica.go.jp/ja/evaluation/pdf/2011_0609200_4_f.pdf,無償,水資源開発,地方給水計画,地方給水,1
2054,2054,2054.0,2054.0,1,ケニア,2011,早稲田大学,大門毅,"8,156百万円","9,088百万円","3,449百万円",8156000000,9088000000,3449000000,1997年1月,2002年7月,1997年3月,2004年4月,67,97,高い,,高い,高い,低い,104%,171%,高い,,,高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2011_KE-P21_4_f.pdf,有償,電力,ソンドゥ・ミリウ水力発電事業（I）,ソンドゥ,4
2055,2055,2055.0,2055.0,2,ケニア,2011,早稲田大学,大門毅,"12,416百万円","15,179百万円","7,346百万円",12416000000,15179000000,7346000000,2000年10月,2003年6月,2004年2月,2010年3月,36,74,高い,,高い,高い,低い,104%,171%,高い,,,高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2011_KE-P21_4_f.pdf,有償,電力,ソンドゥ・ミリウ水力発電事業（I）,ソンドゥ,3
2052,2052,2052.0,2052.0,1,ケニア,2011,早稲田大学,大門毅,"8,156百万円","9,088百万円","3,449百万円",8156000000,9088000000,3449000000,1997年1月,2002年7月,1997年3月,2004年4月,67,97,高い,,高い,高い,低い,111%,145%,高い,,,高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2011_KE-P23_4_f.pdf,有償,電力,ソンドゥ・ミリウ水力発電事業（II）,ソンドゥ,2
2053,2053,2053.0,2053.0,2,ケニア,2011,早稲田大学,大門毅,"12,416百万円","15,179百万円","7,346百万円",12416000000,15179000000,7346000000,2000年10月,2003年6月,2004年2月,2010年3月,33,74,高い,,高い,高い,低い,122%,224%,高い,,,高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2011_KE-P23_4_f.pdf,有償,電力,ソンドゥ・ミリウ水力発電事業（II）,ソンドゥ,1
907,907,907.0,907.0,1,ケニア,2012,ケニア事務所,,220百万円,253百万円,240 百万ケニアシリング,220000000,253000000,,2006年10月,2009年10月,2006年10月,2009年10月,36,36,高い,,高い,高い,中程度,115%,100%,中程度,,,高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2012_0604719_4_f.pdf,技協,保健・医療,輸血血液の安全性確保プロジェクト,輸血血液,1
